Timestamp,Altitude_Deg,Frequency_Hz
14:06:25.379,13.10,137102966.85
14:06:26.574,13.22,137102965.38
14:06:27.784,13.34,137102963.85
14:06:28.949,13.46,137102962.35
14:06:30.121,13.58,137102960.84
14:06:31.284,13.69,137102959.31
14:06:32.452,13.81,137102957.75
14:06:33.627,13.93,137102956.18
14:06:34.801,14.05,137102954.57
14:06:35.981,14.18,137102952.93
14:06:37.139,14.30,137102951.31
14:06:38.302,14.42,137102949.66
14:06:39.480,14.54,137102947.97
14:06:40.649,14.67,137102946.26
14:06:41.833,14.79,137102944.50
14:06:43.015,14.92,137102942.73
14:06:44.199,15.04,137102940.93
14:06:45.373,15.17,137102939.12
14:06:46.552,15.30,137102937.29
14:06:47.733,15.43,137102935.43
14:06:48.902,15.56,137102933.54
14:06:50.070,15.68,137102931.64
14:06:51.251,15.82,137102929.70
14:06:52.417,15.95,137102927.75
14:06:53.598,16.08,137102925.75
14:06:54.788,16.21,137102923.72
14:06:55.968,16.34,137102921.68
14:06:57.140,16.48,137102919.60
14:06:58.320,16.61,137102917.50
14:06:59.498,16.75,137102915.36
14:07:00.677,16.89,137102913.20
14:07:01.858,17.02,137102911.01
14:07:03.033,17.16,137102908.79
14:07:04.217,17.30,137102906.53
14:07:05.393,17.44,137102904.26
14:07:06.559,17.58,137102901.96
14:07:07.726,17.72,137102899.64
14:07:08.906,17.86,137102897.27
14:07:10.081,18.00,137102894.86
14:07:11.252,18.15,137102892.45
14:07:12.435,18.29,137102889.97
14:07:13.625,18.44,137102887.45
14:07:14.795,18.58,137102884.91
14:07:15.971,18.73,137102882.34
14:07:17.139,18.88,137102879.75
14:07:18.311,19.03,137102877.13
14:07:19.485,19.18,137102874.46
14:07:20.660,19.33,137102871.75
14:07:21.845,19.48,137102868.98
14:07:23.019,19.63,137102866.20
14:07:24.193,19.78,137102863.37
14:07:25.369,19.94,137102860.52
14:07:26.549,20.09,137102857.61
14:07:27.727,20.25,137102854.66
14:07:28.905,20.41,137102851.67
14:07:30.079,20.57,137102848.64
14:07:31.253,20.73,137102845.60
14:07:32.431,20.89,137102842.47
14:07:33.602,21.05,137102839.33
14:07:34.776,21.21,137102836.14
14:07:35.955,21.37,137102832.90
14:07:37.135,21.54,137102829.62
14:07:38.308,21.70,137102826.28
14:07:39.485,21.87,137102822.90
14:07:40.660,22.04,137102819.48
14:07:41.836,22.21,137102816.01
14:07:43.008,22.38,137102812.51
14:07:44.183,22.55,137102808.94
14:07:45.371,22.72,137102805.30
14:07:46.557,22.90,137102801.58
14:07:47.733,23.07,137102797.87
14:07:48.913,23.25,137102794.08
14:07:50.093,23.43,137102790.23
14:07:51.273,23.61,137102786.34
14:07:52.443,23.79,137102782.40
14:07:53.612,23.97,137102778.44
14:07:54.786,24.15,137102774.41
14:07:55.968,24.33,137102770.27
14:07:57.144,24.52,137102766.11
14:07:58.319,24.70,137102761.89
14:07:59.503,24.89,137102757.59
14:08:00.678,25.08,137102753.22
14:08:01.854,25.27,137102748.82
14:08:03.021,25.46,137102744.39
14:08:04.193,25.66,137102739.86
14:08:05.370,25.85,137102735.27
14:08:06.543,26.05,137102730.59
14:08:07.722,26.24,137102725.86
14:08:08.892,26.44,137102721.06
14:08:10.067,26.64,137102716.20
14:08:11.243,26.84,137102711.25
14:08:12.418,27.05,137102706.24
14:08:13.593,27.25,137102701.16
14:08:14.764,27.46,137102696.00
14:08:15.932,27.66,137102690.81
14:08:17.110,27.87,137102685.48
14:08:18.279,28.08,137102680.12
14:08:19.454,28.30,137102674.65
14:08:20.628,28.51,137102669.12
14:08:21.811,28.73,137102663.47
14:08:22.981,28.95,137102657.75
14:08:24.155,29.16,137102651.96
14:08:25.324,29.38,137102646.12
14:08:26.496,29.61,137102640.15
14:08:27.670,29.83,137102634.10
14:08:28.852,30.06,137102627.92
14:08:30.025,30.29,137102621.66
14:08:31.204,30.52,137102615.36
14:08:32.378,30.75,137102608.90
14:08:33.559,30.99,137102602.35
14:08:34.738,31.22,137102595.71
14:08:35.909,31.46,137102589.01
14:08:37.089,31.70,137102582.17
14:08:38.263,31.94,137102575.20
14:08:39.438,32.18,137102568.20
14:08:40.608,32.43,137102561.09
14:08:41.786,32.68,137102553.83
14:08:42.971,32.93,137102546.47
14:08:44.146,33.18,137102538.95
14:08:45.316,33.43,137102531.39
14:08:46.494,33.69,137102523.68
14:08:47.666,33.95,137102515.88
14:08:48.841,34.21,137102507.96
14:08:50.016,34.47,137102499.88
14:08:51.188,34.73,137102491.77
14:08:52.361,35.00,137102483.48
14:08:53.540,35.27,137102475.04
14:08:54.710,35.54,137102466.51
14:08:55.875,35.81,137102457.89
14:08:57.062,36.09,137102449.04
14:08:58.238,36.37,137102440.01
14:08:59.413,36.65,137102430.93
14:09:00.582,36.93,137102421.78
14:09:01.756,37.22,137102412.36
14:09:02.928,37.51,137102402.87
14:09:04.107,37.80,137102393.21
14:09:05.278,38.09,137102383.40
14:09:06.456,38.39,137102373.43
14:09:07.633,38.69,137102363.28
14:09:08.820,38.99,137102352.93
14:09:09.991,39.30,137102342.46
14:09:11.167,39.60,137102331.91
14:09:12.345,39.91,137102321.14
14:09:13.528,40.23,137102310.13
14:09:14.703,40.54,137102299.00
14:09:15.872,40.86,137102287.82
14:09:17.057,41.18,137102276.28
14:09:18.235,41.50,137102264.66
14:09:19.420,41.83,137102252.73
14:09:20.597,42.16,137102240.80
14:09:21.776,42.49,137102228.57
14:09:22.949,42.83,137102216.22
14:09:24.129,43.17,137102203.64
14:09:25.296,43.51,137102190.99
14:09:26.473,43.85,137102178.03
14:09:27.656,44.20,137102164.82
14:09:28.832,44.55,137102151.45
14:09:30.011,44.91,137102137.84
14:09:31.185,45.26,137102124.16
14:09:32.363,45.62,137102110.19
14:09:33.538,45.98,137102096.04
14:09:34.715,46.35,137102081.69
14:09:35.889,46.72,137102067.07
14:09:37.077,47.09,137102052.09
14:09:38.263,47.47,137102036.93
14:09:39.446,47.85,137102021.57
14:09:40.627,48.24,137102006.02
14:09:41.805,48.62,137101990.23
14:09:42.992,49.02,137101974.08
14:09:44.171,49.41,137101957.85
14:09:45.348,49.80,137101941.41
14:09:46.525,50.20,137101924.68
14:09:47.701,50.61,137101907.75
14:09:48.877,51.01,137101890.56
14:09:50.052,51.42,137101873.11
14:09:51.233,51.84,137101855.44
14:09:52.414,52.25,137101837.37
14:09:53.594,52.67,137101819.15
14:09:54.777,53.10,137101800.64
14:09:55.948,53.53,137101781.91
14:09:57.129,53.96,137101762.89
14:09:58.307,54.39,137101743.56
14:09:59.488,54.83,137101724.01
14:10:00.657,55.27,137101704.31
14:10:01.834,55.71,137101684.23
14:10:03.013,56.16,137101663.86
14:10:04.199,56.61,137101643.14
14:10:05.371,57.07,137101622.32
14:10:06.552,57.53,137101601.04
14:10:07.736,57.99,137101579.52
14:10:08.919,58.46,137101557.66
14:10:10.092,58.93,137101535.61
14:10:11.272,59.39,137101513.40
14:10:12.451,59.87,137101490.78
14:10:13.631,60.35,137101467.88
14:10:14.810,60.83,137101444.67
14:10:15.984,61.31,137101421.32
14:10:17.169,61.80,137101397.46
14:10:18.347,62.30,137101373.44
14:10:19.534,62.79,137101349.08
14:10:20.712,63.29,137101324.45
14:10:21.890,63.79,137101299.57
14:10:23.075,64.29,137101274.31
14:10:24.255,64.80,137101248.91
14:10:25.428,65.31,137101223.24
14:10:26.607,65.82,137101197.30
14:10:27.789,66.33,137101170.99
14:10:28.965,66.84,137101144.51
14:10:30.138,67.36,137101117.79
14:10:31.313,67.88,137101090.93
14:10:32.491,68.40,137101063.63
14:10:33.667,68.92,137101036.13
14:10:34.851,69.44,137101008.24
14:10:36.031,69.97,137100980.20
14:10:37.213,70.50,137100951.74
14:10:38.390,71.03,137100923.22
14:10:39.576,71.56,137100894.30
14:10:40.753,72.08,137100865.33
14:10:41.939,72.62,137100835.87
14:10:43.117,73.14,137100806.40
14:10:44.300,73.67,137100776.62
14:10:45.487,74.20,137100746.72
14:10:46.667,74.73,137100716.36
14:10:47.845,75.25,137100686.04
14:10:49.016,75.76,137100655.90
14:10:50.197,76.28,137100625.11
14:10:51.374,76.79,137100594.23
14:10:52.550,77.30,137100563.26
14:10:53.724,77.80,137100532.24
14:10:54.895,78.29,137100501.10
14:10:56.077,78.77,137100469.72
14:10:57.254,79.25,137100438.04
14:10:58.432,79.71,137100406.30
14:10:59.608,80.16,137100374.48
14:11:00.784,80.59,137100342.64
14:11:01.954,81.00,137100310.70
14:11:03.127,81.39,137100278.70
14:11:04.306,81.75,137100246.57
14:11:05.480,82.09,137100214.31
14:11:06.658,82.39,137100181.92
14:11:07.833,82.66,137100149.55
14:11:09.021,82.88,137100116.80
14:11:10.206,83.06,137100084.30
14:11:11.379,83.19,137100051.75
14:11:12.559,83.26,137100019.13
14:11:13.735,83.28,137099986.70
14:11:14.921,83.24,137099953.92
14:11:16.114,83.15,137099921.08
14:11:17.292,83.00,137099888.54
14:11:18.473,82.81,137099855.94
14:11:19.650,82.57,137099823.55
14:11:20.833,82.29,137099791.03
14:11:22.014,81.97,137099758.74
14:11:23.190,81.62,137099726.47
14:11:24.370,81.25,137099694.25
14:11:25.551,80.85,137099662.09
14:11:26.734,80.43,137099630.03
14:11:27.919,79.99,137099598.03
14:11:29.103,79.53,137099566.09
14:11:30.278,79.07,137099534.60
14:11:31.463,78.58,137099502.94
14:11:32.640,78.10,137099471.60
14:11:33.824,77.60,137099440.34
14:11:35.006,77.09,137099409.10
14:11:36.181,76.59,137099378.55
14:11:37.362,76.08,137099347.69
14:11:38.531,75.56,137099317.39
14:11:39.704,75.05,137099287.27
14:11:40.882,74.53,137099257.27
14:11:42.057,74.00,137099227.39
14:11:43.232,73.48,137099197.83
14:11:44.409,72.95,137099168.36
14:11:45.584,72.43,137099139.16
14:11:46.768,71.90,137099110.09
14:11:47.938,71.37,137099081.34
14:11:49.101,70.85,137099053.11
14:11:50.265,70.34,137099025.18
14:11:51.448,69.81,137098997.13
14:11:52.626,69.29,137098969.23
14:11:53.801,68.77,137098941.85
14:11:54.990,68.24,137098914.18
14:11:56.165,67.73,137098887.19
14:11:57.352,67.21,137098860.35
14:11:58.523,66.69,137098833.87
14:11:59.813,66.13,137098805.11
14:12:00.978,65.63,137098779.48
14:12:02.152,65.12,137098753.86
14:12:03.327,64.62,137098728.59
14:12:04.501,64.12,137098703.51
14:12:05.679,63.62,137098678.80
14:12:06.868,63.12,137098653.95
14:12:08.052,62.63,137098629.53
14:12:09.231,62.14,137098605.55
14:12:10.405,61.65,137098581.81
14:12:11.578,61.17,137098558.45
14:12:12.756,60.69,137098535.34
14:12:13.927,60.21,137098512.56
14:12:15.096,59.74,137098490.09
14:12:16.265,59.27,137098468.06
14:12:17.442,58.80,137098445.98
14:12:18.619,58.34,137098424.29
14:12:19.794,57.88,137098402.83
14:12:20.971,57.42,137098381.69
14:12:22.152,56.96,137098360.72
14:12:23.329,56.51,137098340.13
14:12:24.519,56.06,137098319.59
14:12:25.692,55.62,137098299.52
14:12:26.875,55.17,137098279.61
14:12:28.061,54.73,137098259.98
14:12:29.247,54.30,137098240.55
14:12:30.423,53.87,137098221.54
14:12:31.605,53.44,137098202.77
14:12:32.783,53.01,137098184.27
14:12:33.976,52.59,137098165.86
14:12:35.161,52.17,137098147.71
14:12:36.344,51.75,137098129.99
14:12:37.526,51.34,137098112.41
14:12:38.700,50.94,137098095.25
14:12:39.886,50.53,137098078.36
14:12:41.051,50.13,137098061.64
14:12:42.229,49.74,137098045.22
14:12:43.406,49.35,137098029.00
14:12:44.581,48.96,137098013.00
14:12:45.754,48.57,137097997.33
14:12:46.925,48.19,137097981.90
14:12:48.103,47.81,137097966.62
14:12:49.273,47.44,137097951.68
14:12:50.449,47.07,137097936.80
14:12:51.622,46.70,137097922.25
14:12:52.796,46.33,137097907.91
14:12:53.969,45.97,137097893.77
14:12:55.139,45.61,137097879.82
14:12:56.307,45.26,137097866.21
14:12:57.477,44.91,137097852.74
14:12:58.646,44.56,137097839.47
14:12:59.826,44.21,137097826.30
14:13:01.001,43.86,137097813.37
14:13:02.173,43.52,137097800.60
14:13:03.350,43.19,137097788.08
14:13:04.527,42.85,137097775.71
14:13:05.689,42.52,137097763.67
14:13:06.862,42.19,137097751.73
14:13:08.040,41.87,137097739.90
14:13:09.215,41.54,137097728.26
14:13:10.387,41.22,137097716.85
14:13:11.567,40.90,137097705.58
14:13:12.745,40.59,137097694.44
14:13:13.931,40.27,137097683.42
14:13:15.112,39.96,137097672.58
14:13:16.295,39.65,137097661.94
14:13:17.478,39.35,137097651.40
14:13:18.670,39.04,137097640.99
14:13:19.850,38.74,137097630.83
14:13:21.021,38.44,137097620.91
14:13:22.198,38.15,137097611.07
14:13:23.369,37.86,137097601.45
14:13:24.541,37.57,137097591.95
14:13:25.719,37.29,137097582.60
14:13:26.908,37.00,137097573.28
14:13:28.086,36.72,137097564.14
14:13:29.254,36.44,137097555.20
14:13:30.420,36.16,137097546.45
14:13:31.601,35.89,137097537.78
14:13:32.779,35.62,137097529.21
14:13:33.958,35.35,137097520.76
14:13:35.136,35.08,137097512.41
14:13:36.318,34.81,137097504.22
14:13:37.506,34.55,137097496.10
14:13:38.693,34.28,137097488.11
14:13:39.873,34.02,137097480.28
14:13:41.045,33.77,137097472.61
14:13:42.225,33.52,137097465.06
14:13:43.401,33.26,137097457.54
14:13:44.576,33.01,137097450.20
14:13:45.752,32.76,137097443.01
14:13:46.932,32.52,137097435.83
14:13:48.116,32.27,137097428.77
14:13:49.292,32.03,137097421.85
14:13:50.470,31.79,137097415.02
14:13:51.650,31.55,137097408.29
14:13:52.837,31.31,137097401.62
14:13:54.022,31.08,137097395.05
14:13:55.205,30.84,137097388.60
14:13:56.385,30.61,137097382.27
14:13:57.568,30.38,137097376.01
14:13:58.751,30.15,137097369.85
14:13:59.940,29.93,137097363.76
14:14:01.103,29.70,137097357.81
14:14:02.286,29.48,137097351.94
14:14:03.463,29.26,137097346.17
14:14:04.643,29.04,137097340.44
14:14:05.823,28.83,137097334.81
14:14:06.994,28.61,137097329.30
14:14:08.179,28.40,137097323.81
14:14:09.358,28.19,137097318.42
14:14:10.529,27.98,137097313.15
14:14:11.710,27.77,137097307.92
14:14:12.894,27.56,137097302.75
14:14:14.074,27.36,137097297.67
14:14:15.256,27.15,137097292.63
14:14:16.435,26.95,137097287.72
14:14:17.622,26.75,137097282.83
14:14:18.803,26.55,137097278.03
14:14:19.989,26.35,137097273.30
14:14:21.167,26.15,137097268.64
14:14:22.351,25.96,137097264.04
14:14:23.536,25.76,137097259.49
14:14:24.719,25.57,137097255.02
14:14:25.904,25.38,137097250.61
14:14:27.081,25.19,137097246.29
14:14:28.265,25.00,137097242.01
14:14:29.454,24.81,137097237.78
14:14:30.651,24.63,137097233.56
14:14:31.847,24.44,137097229.41
14:14:33.026,24.26,137097225.38
14:14:34.227,24.07,137097221.36
14:14:35.409,23.89,137097217.41
14:14:36.591,23.71,137097213.55
14:14:37.776,23.53,137097209.73
14:14:38.980,23.35,137097205.91
14:14:40.154,23.18,137097202.21
14:14:41.322,23.01,137097198.59
14:14:42.511,22.83,137097194.98
14:14:43.695,22.66,137097191.42
14:14:44.878,22.49,137097187.91
14:14:46.048,22.32,137097184.49
14:14:47.237,22.15,137097181.07
